City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Hobart,-42.8794,147.3294,64.0,48,75,19.57,AU,broken clouds
80,Salamiyah,35.0113,37.0532,74.12,27,100,8.81,SY,overcast clouds
81,Cockburn Town,21.4612,-71.1419,78.8,83,20,9.22,TC,few clouds
82,Nicolas Bravo,18.45,-88.9167,84.2,84,90,11.5,MX,overcast clouds
83,Chililabombwe,-12.3648,27.8229,52.14,94,100,4.25,ZM,overcast clouds
84,Raditsa-Krylovka,53.3171,34.3574,41.0,93,100,6.71,RU,overcast clouds
85,Chuy,-33.6971,-53.4616,62.65,76,5,7.81,UY,clear sky
86,Kahului,20.8947,-156.47,78.8,73,40,19.57,US,scattered clouds
87,Champerico,14.3,-91.9167,86.0,74,75,6.91,GT,broken clouds
88,Carnarvon,-24.8667,113.6333,77.0,64,0,19.01,AU,clear sky
89,Varhaug,58.6147,5.6457,37.99,87,0,5.44,NO,clear sky
90,Puerto Madryn,-42.7692,-65.0385,67.77,54,55,13.51,AR,broken clouds
91,Cape Town,-33.9258,18.4232,66.99,94,0,13.8,ZA,clear sky
92,Albany,42.6001,-73.9662,50.0,66,90,4.45,US,overcast clouds
93,Ayan,56.45,138.1667,30.88,96,100,10.51,RU,light snow
94,Saint George,37.1041,-113.5841,73.99,7,1,5.95,US,clear sky
95,Funtua,11.5233,7.3081,78.94,49,100,7.54,NG,overcast clouds
96,Batagay-Alyta,67.8006,130.4114,11.28,85,100,4.32,RU,overcast clouds
97,Bereda,43.2686,-7.5406,48.99,89,100,1.99,ES,overcast clouds
98,Monrovia,6.3005,-10.7969,80.91,78,19,7.92,LR,few clouds
99,Namatanai,-3.6667,152.4333,86.9,64,95,4.27,PG,overcast clouds
100,Igarka,67.4667,86.5833,-6.3,88,5,12.75,RU,clear sky
101,Narrabri,-30.3167,149.7833,70.0,37,0,8.05,AU,clear sky
102,Iqaluit,63.7506,-68.5145,15.8,79,75,5.75,CA,broken clouds
103,Hasaki,35.7333,140.8333,63.0,31,0,20.71,JP,clear sky
104,Dhanwar,24.4167,85.9833,81.36,16,0,6.02,IN,clear sky
105,Vestmanna,62.1564,-7.1664,42.8,93,40,6.91,FO,scattered clouds
106,Mgandu,-5.95,34.1333,60.06,93,93,7.43,TZ,overcast clouds
107,Hirosaki,40.5931,140.4725,54.0,62,75,23.02,JP,broken clouds
108,Port Alfred,-33.5906,26.891,74.53,33,0,9.57,ZA,clear sky
109,Bukama,-9.2,25.85,66.22,83,100,1.36,CD,overcast clouds
110,Saldanha,-33.0117,17.9442,62.6,88,44,5.75,ZA,scattered clouds
111,Neiafu,-18.65,-173.9833,84.2,65,20,5.75,TO,few clouds
112,Nikolskoye,59.7035,30.7861,42.8,65,0,4.47,RU,clear sky
113,Mahebourg,-20.4081,57.7,78.8,83,75,9.22,MU,light rain
114,Takoradi,4.8845,-1.7554,78.24,82,100,3.04,GH,overcast clouds
115,Bengkulu,-3.8004,102.2655,77.29,83,27,3.44,ID,scattered clouds
116,Barabai,-2.5833,115.3833,79.79,80,100,1.21,ID,overcast clouds
117,Rostovka,55.3842,71.8891,17.24,51,31,14.5,RU,scattered clouds
118,Bluff,-46.6,168.3333,58.53,72,65,19.39,NZ,broken clouds
119,Kashi,39.4547,75.9797,59.0,18,40,15.66,CN,scattered clouds
120,Yumen,40.2833,97.2,53.02,32,67,13.38,CN,broken clouds
121,Harper,4.375,-7.7169,80.49,80,100,6.31,LR,overcast clouds
122,Borovoy,55.4333,86.0833,26.6,86,75,31.32,RU,snow
123,Porbandar,21.6422,69.6093,78.75,83,22,9.4,IN,few clouds
124,Karratha,-20.7377,116.8463,82.18,60,0,1.77,AU,clear sky
125,Saint-Pierre,-21.3393,55.4781,75.2,78,90,13.8,RE,overcast clouds
126,Ous,60.9058,61.5186,22.19,68,10,4.41,RU,clear sky
127,Maniitsoq,65.4167,-52.9,14.45,62,86,13.73,GL,overcast clouds
128,Izmit,40.7669,29.9169,50.0,100,75,8.05,TR,broken clouds
129,Jalu,29.0331,21.5482,75.52,32,100,9.95,LY,overcast clouds
130,Yar-Sale,66.8333,70.8333,-2.45,99,91,7.47,RU,overcast clouds
131,Mezhdurechenskiy,59.6,65.9333,19.65,56,100,6.6,RU,overcast clouds
132,Sao Filipe,14.8961,-24.4956,72.43,71,20,7.96,CV,few clouds
133,Roebourne,-20.7833,117.1333,82.38,56,0,2.24,AU,clear sky
134,Ust-Ishim,57.6935,71.1665,14.0,60,7,9.35,RU,clear sky
135,Ypsonas,34.6884,32.9574,73.4,43,100,7.09,CY,overcast clouds
136,Grand Baie,-20.0182,57.5802,78.01,82,25,5.01,MU,scattered clouds
137,Port Elizabeth,-33.918,25.5701,71.6,37,0,31.07,ZA,clear sky
138,Portland,45.5234,-122.6762,80.6,21,20,9.22,US,few clouds
139,Lompoc,34.6391,-120.4579,59.0,82,0,14.97,US,clear sky
140,Lahaina,20.8783,-156.6825,78.8,73,40,19.57,US,scattered clouds
141,Yatou,37.15,122.3833,61.14,43,0,13.78,CN,clear sky
142,Ancud,-41.8697,-73.8203,57.2,100,90,16.11,CL,light rain
143,Tucuman,-26.8241,-65.2226,73.4,88,75,2.1,AR,broken clouds
144,Rafai,4.95,23.9167,68.65,93,100,2.39,CF,overcast clouds
145,Derzhavinsk,51.1,66.3167,29.23,61,8,20.51,KZ,clear sky
146,Balezino,57.9796,53.0106,27.12,73,1,7.78,RU,clear sky
147,Viedma,-40.8135,-62.9967,68.13,77,64,12.86,AR,broken clouds
148,Pervomaysk,48.0443,30.8507,46.89,77,100,5.23,UA,overcast clouds
149,Ilulissat,69.2167,-51.1,12.2,57,62,11.5,GL,broken clouds
150,Opuwo,-18.0607,13.84,71.35,42,94,8.57,NA,overcast clouds
151,Kupang,-10.1667,123.5833,81.66,65,99,7.16,ID,overcast clouds
152,Blagoyevo,63.3667,47.9167,26.67,72,20,2.44,RU,few clouds
153,Tautira,-17.7333,-149.15,86.0,66,20,9.22,PF,few clouds
154,Saint-Philippe,-21.3585,55.7679,77.0,78,90,13.8,RE,overcast clouds
155,Carahue,-38.7,-73.1667,62.6,72,0,5.75,CL,clear sky
156,Vao,-22.6667,167.4833,77.41,79,100,11.32,NC,overcast clouds
157,Qaanaaq,77.484,-69.3632,3.09,78,99,4.92,GL,overcast clouds
158,Sesheke,-17.4759,24.2968,57.6,82,0,4.63,ZM,clear sky
159,Asau,46.4333,26.4,41.0,66,100,1.25,RO,overcast clouds
160,Upernavik,72.7868,-56.1549,3.27,88,100,4.68,GL,overcast clouds
161,Santa Cruz,-17.8,-63.1667,70.47,92,13,4.21,BO,few clouds
162,Arraial Do Cabo,-22.9661,-42.0278,75.2,88,75,5.75,BR,broken clouds
163,Lorengau,-2.0226,147.2712,81.93,77,100,9.86,PG,overcast clouds
164,Ponta Do Sol,32.6667,-17.1,57.99,73,4,1.99,PT,clear sky
165,Nanortalik,60.1432,-45.2371,29.16,56,24,8.21,GL,few clouds
166,Lavrentiya,65.5833,-171.0,31.44,87,85,5.03,RU,overcast clouds
167,Bulgan,48.8125,103.5347,40.87,44,0,3.85,MN,clear sky
168,Jumla,29.2747,82.1838,44.53,55,0,3.51,NP,clear sky
169,Thinadhoo,0.5333,72.9333,82.44,64,27,7.54,MV,scattered clouds
170,Fairbanks,64.8378,-147.7164,62.6,33,1,4.61,US,clear sky
171,Vaini,-21.2,-175.2,80.6,78,20,9.22,TO,few clouds
172,Vila Franca Do Campo,37.7167,-25.4333,59.0,82,20,5.75,PT,few clouds
173,Te Anau,-45.4167,167.7167,55.8,76,90,7.85,NZ,overcast clouds
174,Mokobeng,-22.9965,27.6678,56.28,62,0,3.56,BW,clear sky
175,Meulaboh,4.1363,96.1285,76.64,86,100,1.92,ID,overcast clouds
176,Nalut,30.3333,10.85,57.25,31,66,12.64,LY,broken clouds
177,Norman Wells,65.282,-126.8329,50.0,40,1,11.5,CA,clear sky
178,Sayat,38.7839,63.8803,57.2,54,0,6.91,TM,clear sky
179,Laguna,38.421,-121.4238,89.6,6,1,8.05,US,clear sky
180,Bubaque,11.2833,-15.8333,76.78,74,38,11.9,GW,scattered clouds
181,San Cristobal,7.7669,-72.225,84.2,54,40,6.91,VE,scattered clouds
182,Sisimiut,66.9395,-53.6735,16.86,65,100,14.61,GL,overcast clouds
183,Boa Vista,2.8197,-60.6733,82.4,61,0,9.22,BR,clear sky
184,Lebu,-37.6167,-73.65,55.44,86,67,10.02,CL,broken clouds
185,Lashio,22.9333,97.75,73.02,48,27,1.32,MM,scattered clouds
186,Kulhudhuffushi,6.6221,73.07,83.89,72,80,7.61,MV,broken clouds
187,Cherskiy,68.75,161.3,22.53,80,59,16.6,RU,broken clouds
188,Merrill,45.1805,-89.6835,55.4,40,40,3.44,US,scattered clouds
189,Baykit,61.67,96.37,24.03,90,100,2.55,RU,overcast clouds
190,Manzhouli,49.6,117.4333,34.9,14,0,14.0,CN,clear sky
191,Nuuk,64.1835,-51.7216,24.8,54,40,12.66,GL,scattered clouds
192,Cayenne,4.9333,-52.3333,80.01,88,100,2.3,GF,overcast clouds
193,Kununurra,-15.7667,128.7333,84.2,26,8,11.5,AU,clear sky
194,Buraydah,26.326,43.975,68.0,40,0,4.61,SA,clear sky
195,Koping,59.514,15.9926,41.0,74,9,5.75,SE,clear sky
196,Zhangye,38.9342,100.4517,57.47,19,100,5.79,CN,overcast clouds
197,Sitka,57.0531,-135.33,66.2,27,1,11.5,US,clear sky
198,Port Hardy,50.6996,-127.4199,66.2,45,1,8.05,CA,clear sky
199,Sijunjung,-0.6876,100.9537,74.91,86,14,1.77,ID,few clouds
200,Lasa,46.6166,10.7002,37.99,80,0,8.05,IT,clear sky
201,Synya,65.3718,58.0387,7.97,97,90,1.21,RU,overcast clouds
202,Atar,20.5169,-13.0499,79.56,14,97,6.87,MR,overcast clouds
203,Yakima,46.4665,-120.6678,82.4,13,1,16.11,US,clear sky
204,Prince Rupert,54.3161,-130.3201,68.0,24,1,12.66,CA,clear sky
205,Padang,-0.9492,100.3543,79.75,79,13,1.68,ID,few clouds
206,Clyde River,70.4692,-68.5914,1.4,92,90,9.22,CA,light snow
207,Henties Bay,-22.116,14.2845,84.99,42,2,5.99,NA,clear sky
208,Mandalgovi,45.7625,106.2708,44.19,45,93,12.12,MN,overcast clouds
209,Port Lincoln,-34.7333,135.8667,63.59,62,35,13.98,AU,scattered clouds
210,Dolores,-36.3132,-57.6792,60.76,94,100,6.89,AR,overcast clouds
211,Antalaha,-14.9003,50.2788,74.82,91,73,11.65,MG,light rain
212,Airai,-8.9266,125.4092,69.71,48,53,2.8,TL,broken clouds
213,Porto Belo,-27.1578,-48.5531,73.99,94,0,6.91,BR,clear sky
214,Talnakh,69.4865,88.3972,-9.65,91,56,3.18,RU,broken clouds
215,Thunder Bay,48.4001,-89.3168,39.99,93,90,10.36,CA,moderate rain
216,Flin Flon,54.7682,-101.865,29.66,42,10,9.64,CA,clear sky
217,Pisco,-13.7,-76.2167,66.2,82,0,8.05,PE,clear sky
218,Acari,-15.4311,-74.6158,73.18,72,5,2.28,PE,clear sky
219,Castro,-24.7911,-50.0119,56.37,98,7,5.26,BR,clear sky
220,Bilma,18.6853,12.9164,84.38,7,83,7.47,NE,broken clouds
221,Araouane,18.9048,-3.5265,80.47,10,2,10.6,ML,clear sky
222,Soyo,-6.1349,12.3689,80.33,88,99,3.4,AO,light rain
223,Hithadhoo,-0.6,73.0833,82.51,65,68,7.63,MV,broken clouds
224,Kinshasa,-4.3246,15.3215,77.0,88,100,2.3,CD,moderate rain
225,Ust-Maya,60.4167,134.5333,36.66,71,100,10.89,RU,overcast clouds
226,Mafinga,-7.25,35.0667,62.55,86,7,3.31,TZ,clear sky
227,Dikson,73.5069,80.5464,-8.88,100,100,6.91,RU,overcast clouds
228,Gat,31.61,34.7642,81.0,32,97,4.0,IL,overcast clouds
229,Ketchikan,55.3422,-131.6461,69.8,26,1,16.11,US,clear sky
230,Gorontalo,0.5412,123.0595,81.88,80,94,3.33,ID,light rain
231,Acarau,-2.8856,-40.12,76.98,88,100,9.48,BR,overcast clouds
232,Ocosingo,17.0667,-92.25,62.87,92,100,2.93,MX,overcast clouds
233,Karatau,43.1667,70.4667,58.05,43,100,9.84,KZ,light rain
234,Bonthe,7.5264,-12.505,81.12,78,39,3.2,SL,scattered clouds
235,Ngunguru,-35.6167,174.5,63.64,59,71,8.86,NZ,broken clouds
236,Puerto Ayora,-0.7393,-90.3518,77.0,96,100,4.0,EC,overcast clouds
237,Chernyshevskiy,63.0128,112.4714,13.59,86,75,1.54,RU,broken clouds
238,Paita,-5.0892,-81.1144,70.09,82,82,8.34,PE,broken clouds
239,Grindavik,63.8424,-22.4338,33.8,69,75,5.75,IS,light snow
240,Boende,-0.2167,20.8667,71.74,99,100,2.77,CD,light rain
241,Luanda,-8.8368,13.2343,80.6,94,20,3.44,AO,few clouds
242,Anito,12.4497,125.2886,74.61,93,100,29.51,PH,moderate rain
243,Kuching,1.55,110.3333,80.6,83,20,3.44,MY,few clouds
244,San Patricio,28.017,-97.5169,63.0,77,90,7.49,US,overcast clouds
245,Tanout,14.9709,8.8879,80.78,9,0,3.31,NE,clear sky
246,Muborak,39.2553,65.1528,62.67,47,12,7.92,UZ,few clouds
247,Yichang,30.7144,111.2847,63.18,69,11,2.39,CN,few clouds
248,Shakawe,-18.3667,21.85,57.25,52,0,5.66,BW,clear sky
249,Srednekolymsk,67.45,153.6833,25.23,77,55,8.28,RU,broken clouds
250,The Pas,53.8251,-101.2541,32.0,47,1,8.05,CA,clear sky
251,San Quintin,30.4833,-115.95,66.51,58,0,9.04,MX,clear sky
252,Kuroiso,36.9667,140.05,48.2,61,75,10.36,JP,broken clouds
253,Ahipara,-35.1667,173.1667,65.84,52,82,4.97,NZ,broken clouds
254,Santa Maria,-29.6842,-53.8069,68.0,77,40,5.75,BR,scattered clouds
255,Akdepe,42.0551,59.3788,64.4,51,0,4.61,TM,clear sky
256,Rorvik,64.8621,11.2373,41.5,81,0,10.87,NO,clear sky
257,Tura,25.5198,90.2201,69.31,85,0,4.09,IN,clear sky
258,Baruun-Urt,46.6806,113.2792,39.88,18,0,12.97,MN,clear sky
259,Narsaq,60.9167,-46.05,28.4,34,75,5.75,GL,broken clouds
260,Saskylakh,71.9167,114.0833,4.44,90,94,9.37,RU,overcast clouds
261,Katsuura,35.1333,140.3,64.4,39,0,16.11,JP,clear sky
262,Cambre,43.2944,-8.3474,57.0,76,0,2.75,ES,clear sky
263,Placido De Castro,-10.3353,-67.1856,74.86,92,99,2.21,BR,overcast clouds
264,Kruisfontein,-34.0033,24.7314,66.81,51,6,16.98,ZA,clear sky
265,Praya,14.9215,-23.5087,69.8,78,20,12.66,CV,few clouds
266,Labuhan,-6.8844,112.2051,79.88,77,57,5.57,ID,broken clouds
267,Pangnirtung,66.1451,-65.7125,4.6,85,64,7.27,CA,broken clouds
268,Vila Velha,-20.3297,-40.2925,77.0,83,40,6.91,BR,scattered clouds
269,Salalah,17.0151,54.0924,78.8,65,0,2.3,OM,clear sky
270,Atbasar,51.8,68.3333,26.85,53,7,16.71,KZ,clear sky
271,Grand Gaube,-20.0064,57.6608,78.01,82,21,5.01,MU,few clouds
272,Luderitz,-26.6481,15.1594,73.6,46,9,4.5,NA,clear sky
273,Sumenep,-7.0167,113.8667,81.68,75,14,3.89,ID,few clouds
274,Praia Da Vitoria,38.7333,-27.0667,60.01,82,20,4.32,PT,few clouds
275,Masunga,-20.6246,27.4488,49.73,72,0,7.9,BW,clear sky
276,Pecos,31.4229,-103.4932,59.0,36,1,6.91,US,clear sky
277,Kuytun,54.3419,101.5036,34.88,50,100,14.56,RU,overcast clouds
278,Aksarka,66.5606,67.7975,-4.58,91,99,4.0,RU,overcast clouds
279,Maxixe,-23.8597,35.3472,65.03,78,16,2.8,MZ,few clouds
280,Domoni,-12.2569,44.5319,77.56,88,32,6.31,KM,light rain
281,San,13.3034,-4.8956,89.29,14,72,8.41,ML,broken clouds
282,Faanui,-16.4833,-151.75,82.67,69,0,13.18,PF,clear sky
283,Chagoda,59.164,35.3285,36.28,81,81,6.26,RU,broken clouds
284,Simpang,-1.2667,104.0833,80.26,77,32,3.11,ID,scattered clouds
285,Komsomolskiy,40.4272,71.7189,48.2,76,11,4.61,UZ,few clouds
286,Zabol,32.25,67.25,54.88,23,100,4.41,AF,overcast clouds
287,Nyurba,63.2842,118.3319,16.09,82,100,4.88,RU,overcast clouds
288,Hirara,24.8,125.2833,73.4,60,40,18.41,JP,scattered clouds
289,Bilibino,68.0546,166.4372,26.73,87,100,16.71,RU,light snow
290,Ibra,22.6906,58.5334,74.32,43,90,1.39,OM,overcast clouds
291,Portsmouth,50.799,-1.0913,45.0,100,11,1.14,GB,few clouds
292,Ureki,41.9956,41.7786,66.2,63,75,24.16,GE,broken clouds
293,Santo Antonio Do Ica,-3.1022,-67.9397,71.92,99,93,1.57,BR,overcast clouds
294,Nioro,13.35,-15.75,82.42,35,47,4.25,GM,scattered clouds
295,Souillac,-20.5167,57.5167,78.8,83,75,9.22,MU,broken clouds
296,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.74,82,99,6.69,BR,overcast clouds
297,Mount Isa,-20.7333,139.5,84.2,23,5,11.5,AU,clear sky
298,Conceicao Do Araguaia,-8.2578,-49.2647,75.2,94,0,1.14,BR,clear sky
299,Kamalpur,24.2,91.8333,80.6,89,75,3.44,IN,light rain
300,Cheney,47.4874,-117.5758,73.4,16,75,16.11,US,broken clouds
301,Ouesso,1.6136,16.0517,72.43,96,100,1.92,CG,overcast clouds
302,Det Udom,14.906,105.0784,87.01,74,90,2.3,TH,overcast clouds
303,Saint-Joseph,-21.3667,55.6167,75.2,78,90,13.8,RE,overcast clouds
304,Singkang,2.1006,102.7994,80.6,83,20,1.14,MY,few clouds
305,Hearst,49.6835,-83.6665,48.2,34,100,4.61,CA,overcast clouds
306,Funadhoo,6.15,73.2667,84.15,70,100,8.59,MV,overcast clouds
307,West Bay,19.3667,-81.4167,82.4,74,20,9.22,KY,few clouds
308,Hofn,64.2539,-15.2082,38.62,70,14,17.31,IS,few clouds
309,Rio Bananal,-19.265,-40.3333,70.48,96,13,2.01,BR,few clouds
310,Egvekinot,66.3167,-179.1667,27.79,98,100,12.46,RU,light snow
